CPU,Frequency (kHz),CoreMarks (iter/s),CoreMarks/MHz,Power (mW),Energy (J),ULPMark-CM (iter/mJ),Time (s)
4,825600,7010.164739,8.490994112160852,57.17507692307688,2.2843376007372314,122.57382617597099,39.953380453
4,940800,7987.676157,8.49030203762755,64.94170588235289,2.277251485929168,122.95523868579403,35.066086654
4,1056000,8951.692829,8.47698184564394,94.3604516129032,2.952656755649369,94.82985093484746,31.291252905
4,1171200,9923.096006,8.472588802937159,76.07885714285713,2.1476975695223595,130.37217342582878,28.229887385
4,1286400,10903.426791,8.475922567630596,88.83872,2.2823626663488263,122.67988962855128,25.691080042
4,1382400,11736.597225,8.490015353732637,75.61134782608696,1.8047164000779727,155.1490306110714,23.868327334
4,1478400,12551.551013,8.489956042343072,142.12718181818178,3.1723543057208565,88.26252461620152,22.320531971
4,1574400,13351.771494,8.480545918445122,106.06784999999999,2.225564651138913,125.8107689015965,20.98246218
4,1670400,14175.062016,8.486028505747125,167.72842105263152,3.3149731821198114,84.46523836459805,19.763932441
4,1766400,14986.08435,8.483969853940216,159.17988888888883,2.975887836216906,94.08956768879759,18.695124472
4,1862400,15786.209618,8.476272346434708,112.65635294117642,1.9994492017305954,140.03856650003905,17.748215254
4,1958400,16600.462441,8.476543321589052,151.142375,2.5512689855833446,109.74930576988076,16.879905358
4,2054400,17448.744314,8.493352956580996,175.42999999999998,2.8173771454392296,99.38321550356297,16.059836661
4,2150400,18204.278005,8.465531066313243,194.9393333333333,3.0007477089279817,93.31007707410033,15.393238797
4,2246400,19041.142469,8.476292053507834,209.406,3.0817191769562284,90.8583760953041,14.716479838
4,2342400,19866.609905,8.481305458077186,205.06971428571427,2.892817600196064,96.79144650565688,14.106508171
4,2419200,20521.841102,8.482903894675927,180.49284615384616,2.4647798761635547,113.60040817755367,13.655831401
7,844800,7169.560096,8.48669518939394,57.08215789473683,2.2300220049816084,125.55929913449856,39.06688337
7,960000,8146.165484,8.485589045833333,62.1526176470588,2.137229204398651,131.01074953670363,34.386793112
7,1075200,9123.492994,8.485391549479166,89.4459333333333,2.7461544718635267,101.96076108202077,30.701837071
7,1190400,10103.561505,8.487534866431451,113.52040740740739,3.147426041858406,88.96158202804769,27.725640823
7,1305600,11062.821019,8.473361687346815,127.70559999999998,3.2338824226325755,86.58323445540209,25.32294921
7,1401600,11893.636904,8.485756923515982,124.61699999999995,2.9351444147812815,95.39564683425118,23.553322699
7,1516800,12871.196102,8.48575692378692,106.16123809523808,2.310643922972798,121.17834219984933,21.765419888
7,1632000,13818.971474,8.467507030637256,181.30034999999992,3.6758301288778594,76.17326976028599,20.274809888
7,1747200,14827.367083,8.486359365270145,112.1093333333333,2.118401869483975,132.17510994181933,18.895856451
7,1862400,15791.55152,8.479140635738831,157.91847058823527,2.8018049505504043,99.9355790077375,17.742097806
7,1977600,16748.414882,8.469060923341425,203.4515625,3.4035482449661396,82.26708712418608,16.729034681
7,2073600,17601.20694,8.488236371527778,219.53386666666663,3.494892988973463,80.1169022580697,15.919607494
7,2169600,18408.941486,8.484947218842184,239.52513333333334,3.6461635810732966,76.79304391427723,15.222467598
7,2265600,19209.659715,8.47883991657839,255.15642857142856,3.7222274936752653,75.22377406425868,14.588021609
7,2361600,20041.514566,8.486413688177509,244.21699999999998,3.4146936960752314,81.998569980618,13.982211296
7,2457600,20844.189682,8.481522494303386,211.27584615384615,2.8405109211571786,98.57381568733153,13.44456062
7,2553600,21668.472373,8.485460672384086,145.87499999999997,1.8866482366143746,148.41134376086197,12.933321245
7,2649600,22473.713781,8.481927000679347,466.9744166666666,5.823677397446873,48.07958629761211,12.471084474
7,2745600,23269.342641,8.475139365166084,429.6039090909091,5.174858303053487,54.10776172069923,12.045649943
7,2841600,24100.533655,8.481325188274212,261.61781818181817,3.0424888028297943,92.02991963013119,11.629516766
7,3187200,27040.077257,8.483959982743475,623.576,6.464499236651888,43.31348643565134,10.366818538
